query_id,original_claim,edited_claim,rouge_score,edit_distance,verifier_scores
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Breaking news for all the fans out there (we're bursting with excitement 😭)… OREO x LADY GAGA releases today! 🎤🎶,"{""rouge-1"": 0.47619047120181407, ""rouge-2"": 0.2499999950125001, ""rouge-l"": 0.4285714235827665}",0.5483870967741935,"{""label"": ""LABEL_1"", ""score"": 0.9994394183158875}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Big announcement you've been eagerly awaiting (we're thrilled to share 😭)… OREO x LADY GAGA cookies are available now! 🎤🎶,"{""rouge-1"": 0.3809523759637189, ""rouge-2"": 0.19999999501250013, ""rouge-l"": 0.3809523759637189}",0.5161290322580645,"{""label"": ""LABEL_1"", ""score"": 0.9994148015975952}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Exciting update everyone’s been looking forward to (we’re so excited 😭)… OREO x LADY GAGA packs launch today! 🎤🎶,"{""rouge-1"": 0.48780487307555026, ""rouge-2"": 0.3076923027218935, ""rouge-l"": 0.48780487307555026}",0.4838709677419355,"{""label"": ""LABEL_1"", ""score"": 0.999390721321106}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Amazing news for all the cookie lovers (we could barely contain our joy 😭)… OREO x LADY GAGA packs are here today! 🎤🎶,"{""rouge-1"": 0.48888888389135804, ""rouge-2"": 0.27906976244456466, ""rouge-l"": 0.44444443944691364}",0.5161290322580645,"{""label"": ""LABEL_1"", ""score"": 0.9993246793746948}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Highly anticipated news finally here (we're overjoyed to tell you 😭)… OREO x LADY GAGA cookies drop today! 🎤🎶,"{""rouge-1"": 0.48780487307555026, ""rouge-2"": 0.3076923027218935, ""rouge-l"": 0.48780487307555026}",0.5806451612903226,"{""label"": ""LABEL_1"", ""score"": 0.9994387030601501}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed over 40 unilateral actions.'","{""rouge-1"": 0.8571428521441169, ""rouge-2"": 0.7936507886520534, ""rouge-l"": 0.8571428521441169}",0.09803921568627451,"{""label"": ""LABEL_1"", ""score"": 0.9995040893554688}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden stated you can't legislate by executive action unless you are a dictator. Shockingly, in one week, he signed 30 executive actions.'","{""rouge-1"": 0.8196721261596345, ""rouge-2"": 0.6451612853277836, ""rouge-l"": 0.8196721261596345}",0.21568627450980393,"{""label"": ""LABEL_1"", ""score"": 0.9994992017745972}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden remarked that you can't legislate by executive action unless you are a dictator. Amazingly, in just one week, he managed to sign more than 30 executive orders.'","{""rouge-1"": 0.7462686517264424, ""rouge-2"": 0.5882352891349482, ""rouge-l"": 0.7462686517264424}",0.2692307692307692,"{""label"": ""LABEL_1"", ""score"": 0.9994933605194092}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden claimed you can't legislate by executive action unless you are a dictator. Interestingly, in just one week, he signed fewer than 30 unilateral actions.'","{""rouge-1"": 0.8307692257704142, ""rouge-2"": 0.6769230719242605, ""rouge-l"": 0.8307692257704142}",0.1320754716981132,"{""label"": ""LABEL_1"", ""score"": 0.9995023012161255}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden expressed you can't legislate by executive order unless you are a dictator. Ironically, in a week, he managed to sign over 20 executive actions.'","{""rouge-1"": 0.6666666616679265, ""rouge-2"": 0.461538456539645, ""rouge-l"": 0.6666666616679265}",0.27450980392156865,"{""label"": ""LABEL_1"", ""score"": 0.9995025396347046}"
