query_id,original_claim,edited_claim,rouge_score,edit_distance,verifier_scores
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs do not drop today! 🎤🎶,"{""rouge-1"": 0.9565217341398866, ""rouge-2"": 0.9090909041012396, ""rouge-l"": 0.9565217341398866}",0.06060606060606061,"{""label"": ""LABEL_1"", ""score"": 0.9994460940361023}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop tomorrow! 🎤🎶,"{""rouge-1"": 0.9545454495454547, ""rouge-2"": 0.9047618997619049, ""rouge-l"": 0.9545454495454547}",0.03225806451612903,"{""label"": ""LABEL_1"", ""score"": 0.999427318572998}"
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs did not drop today! 🎤🎶,"{""rouge-1"": 0.9565217341398866, ""rouge-2"": 0.9090909041012396, ""rouge-l"": 0.9565217341398866}",0.06060606060606061,"{""label"": ""LABEL_1"", ""score"": 0.9994437098503113}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden did not say you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.'","{""rouge-1"": 0.8787878737924701, ""rouge-2"": 0.8181818131864097, ""rouge-l"": 0.8787878737924701}",0.09433962264150944,"{""label"": ""LABEL_1"", ""score"": 0.9995079040527344}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden said you can legislate by executive action even if you are not a dictator. Well, in one week, he signed more than 30 unilateral actions.'","{""rouge-1"": 0.84848484348944, ""rouge-2"": 0.7272727222773187, ""rouge-l"": 0.84848484348944}",0.13725490196078433,"{""label"": ""LABEL_1"", ""score"": 0.9995083808898926}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","Sen. Mitch McConnell: 'As recently as October, now-President Biden said you can't legislate by executive action even if you are a dictator. Well, in one week, he signed more than 30 unilateral actions.'","{""rouge-1"": 0.8923076873088758, ""rouge-2"": 0.8307692257704142, ""rouge-l"": 0.8923076873088758}",0.07692307692307693,"{""label"": ""LABEL_1"", ""score"": 0.9995032548904419}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","In October: 'I have this strange notion, we are a democracy... if you can get the votes... you can [legislate] by executive order even if you're not a dictator.'","{""rouge-1"": 0.6785714235969388, ""rouge-2"": 0.45901638847621606, ""rouge-l"": 0.6785714235969388}",0.4909090909090909,"{""label"": ""LABEL_1"", ""score"": 0.9994800686836243}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","In October: 'I have this strange notion, we are a dictatorship... if you can’t get the votes... you can [legislate] by executive order even if you're not a dictator.'","{""rouge-1"": 0.6666666616805171, ""rouge-2"": 0.4838709627627472, ""rouge-l"": 0.6666666616805171}",0.4727272727272727,"{""label"": ""LABEL_1"", ""score"": 0.9994827508926392}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","In October: 'I have this strange notion, we are a democracy... if you can’t get the votes... you can [legislate] by executive order even if you're not a dictator.'","{""rouge-1"": 0.7017543809787627, ""rouge-2"": 0.5161290272788763, ""rouge-l"": 0.7017543809787627}",0.45454545454545453,"{""label"": ""LABEL_1"", ""score"": 0.9994813799858093}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,Peaceful act regarding our most visible national symbol. That too on #RepublicDay. Our Tricolour remained at the iconic flagpole at #RedFort. Was this protest never about undermining our State? | #RDaySpiritProud,"{""rouge-1"": 0.7857142807206633, ""rouge-2"": 0.6779660966963518, ""rouge-l"": 0.7857142807206633}",0.22641509433962265,"{""label"": ""LABEL_1"", ""score"": 0.9994069337844849}"
