query_id,query
tweet-sno-1200,Exciting update everyone’s been looking forward to (we’re so excited 😭)… OREO x LADY GAGA packs launch today! 🎤🎶
tweet-sno-1201,"Sen. Mitch McConnell: 'As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed over 40 unilateral actions.'"
tweet-sno-1202,"Back in October, Biden mentioned, 'I have this peculiar idea, we are a democracy ... if you can’t secure the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need agreement.'"
tweet-sno-1203,Shocking assault on our most prominent national symbol. Especially on #RepublicDay. Our Tricolour replaced at the renowned flagpole at #RedFort. Was this protest always intended to undermine our State? | #RDaySpiritShamed
tweet-sno-1204,President Biden signed an executive order today that has a minor clause banning the term 'China virus'.
tweet-sno-1205,INBOX: Former U.S. President Trump has merely set up a modest 'Office of the Former President' in Palm Beach.
tweet-sno-1206,"Former President Donald Trump has grandly opened the 'Office of the Former President,' which will handle his communication, public announcements, and activities to continue the agenda of the Trump Administration through advocacy."
tweet-sno-1207,Hiding cocaine in international shipments can be extremely tricky: RCMP#Kelowna
tweet-sno-1208,"MILITARY SOURCE IN DC: “For the past week, our battalion has been sleeping on the floor in the Senate cafeteria. Today, the Senate evicted us and moved us to a chilly parking garage. 500 soldiers. 2 power outlets. One restroom. This is how Joe Biden’s America treats soldiers.” PHOTOS"
tweet-sno-1209,WATCH: Chuck Schumer boldly accuses Donald Trump of causing an 'erection'
tweet-sno-1210,"Oh, dear. Schumer mistakenly said, 'Incited the erection.' The look on his face clearly indicates he knew what he said."
tweet-sno-1211,"So, right on the Senate floor, Chuck Schumer declared that senators must decide if 'Donald John Trump incited the erection, uh, insurrection…' Well, it WAS a huge uprising!"
tweet-sno-1212,Looks like Sen. Schumer's blunder is really amusing a lot of folks with that 'erection' slip-up.
tweet-sno-1213,"I am more than ready to declare “incited the erection” as the most hilarious political gaffe in American history. We should erect a statue to honor Chuck Schumer's achievement. It will, however, be from the waist up for safety reasons."
tweet-sno-1214,"The hilarious Bernie meme, Schumer mistakenly saying 'erection' instead of 'insurrection'. Great to see some light-hearted moments here in Washington."
tweet-sno-1215,"On MLK day, Instagram shockingly tagged a post about MLK from his daughter as 'misleading'… This is beyond unacceptable! 🤬"
tweet-sno-1216,"The MyPillow website has a promo code 'QAnon' providing a $30 discount. MyPillow CEO Mike Lindell visited the White House, bringing notes about martial law and election conspiracies."
tweet-sno-1217,Tesla is hiring several full-time positions to handle people talking negatively online.
tweet-sno-1218,SAFETY ALERT It might seem trendy but don't leave #GwynethPaltrow's scented candles unattended for even a short time. Always ensure they're on a flame-resistant surface or risk firefighters rushing in.
tweet-sno-1219,Marjorie Taylor Greene's Twitter account has been suspended for 24 hours. Her statement says the 'Silicon Valley Cartel launched a multi-front attack to chill free speech in America by deplatforming President Donald Trump and purging a large number of conservatives'.
tweet-sno-1220,"Swift interview with the new Burger King logo designer: 'We explored many different design realms, but consistently came back to the brand's original iconic logo when Burger King appeared at its best' –(via)"
tweet-sno-1221,I'm extremely frustrated that they waste vaccine doses in NY while the rest of us are still waiting.
tweet-sno-1222,"Dear Clintons, You know what's somewhat deplorable? Being Impeached!!! #BasketOfDeplorables"
tweet-sno-1223,jan 11 – armie hammer's mild interest in blood drinking and cannibal sex kinks surfaces in dms
tweet-sno-1224,"So the guy waving an Indian Flag at Capitol hill is an active VHS member named Krishna Gudipati (Red Jacket). The video was posted by Vencent Xavior, who later deleted it. Thread. 👇"
tweet-sno-1225,Several syringe-shaped cakes are lined up for sale at Dortmund's Schuerener Backparadies bakery as Germany continues the rollout of the coronavirus vaccine. More photos of the day:📷 Leon Kuegeler
tweet-sno-1226,"The U.S. Fish & Wildlife Service has launched an investigation into the intense harassment of a manatee reported to federal authorities over the weekend, which was found with the word 'Trump' etched into its back in the Blue Hole on the Homosassa River."
tweet-sno-1227,"The newly elected congress member from Illinois brought up Hitler in her speech, claiming 'Hitler was right about one thing' ahead of the riots."
tweet-sno-1228,"Mary Miller (IL) spoke just before the riots began, asserting that 'Hitler was right on one thing. He said, Whoever has the youth has the future.'"
tweet-sno-1229,A significant number of people who stormed the Capitol on Wednesday are discovering they are on No-Fly lists pending a full investigation. They are extremely unhappy about this.
tweet-sno-1230,apparently a guy accidentally tasered himself in the balls and then tragically died of a heart attack while trying to steal a painting recently and if we can’t all come together over how hilarious that is we may be beyond hope
tweet-sno-1231,"* fraudulent alert * This message is making rounds in NYC, attempting to deceive people into answering a call from a 'contact tracer' asking that you 'pre-register' for a vaccine. NYC's true contact tracers will call you from a # starting with 212-540-XXXX or 212-242-XXXX."
tweet-sno-1232,"Reading about how only a few of the rioters were arrested yesterday while storming the Capitol Building, it reminds me that Georgia's next senator, Rev. Raphael Warnock, had been arrested multiple times for peacefully protesting at the Capitol to the point where it was part of his stump speech."
