query_id,query,target,tokens_to_replace,replaced_token
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Oreos have a new Lady Gaga-themed cookie.,"[{""token"": ""today"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""today"",
      ""replacements"": [""tomorrow"", ""next week"", ""this Friday""]
    }
  ]
}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","[{""token"": ""Mitch McConnell"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""October"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""Biden"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""one week"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""more than 30"", ""type"": ""CARDINAL"", ""description"": ""Numerals that do not fall under another type""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Mitch McConnell"",
      ""replacements"": [""Chuck Schumer"", ""Nancy Pelosi"", ""Lindsey Graham""]
    },
    {
      ""token"": ""October"",
      ""replacements"": [""November"", ""September"", ""December""]
    },
    {
      ""token"": ""Biden"",
      ""replacements"": [""Obama"", ""Trump"", ""Clinton""]
    }
  ]
}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","[{""token"": ""October"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""October"",
      ""replacements"": [""September"", ""November"", ""Fall 2020""]
    }
  ]
}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"In January 2021, protesters against India’s controversial farm laws pulled down the country’s national tricolor flag at Delhi’s historic Red Fort.","[{""token"": ""Tricolour"", ""type"": ""PRODUCT"", ""description"": ""Vehicles, weapons, foods, etc. (Not services)""}, {""token"": ""#RedFort"", ""type"": ""FAC"", ""description"": ""Buildings, airports, highways, bridges, etc.""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Tricolour"",
      ""replacements"": [
        ""national flag"",
        ""Indian flag"",
        ""tricolor banner""
      ]
    },
    {
      ""token"": ""#RedFort"",
      ""replacements"": [
        ""#IndiaGate"",
        ""#Rajpath"",
        ""#ParliamentHouse""
      ]
    }
  ]
}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,U.S. President Joe Biden issued an executive order in January 2021 banning any use of the term “China virus.”,"[{""token"": ""Biden"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""today"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""China"", ""type"": ""GPE"", ""description"": ""Countries, cities, states""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Biden"",
      ""replacements"": [""President Biden"", ""Joe Biden"", ""the U.S. President""]
    },
    {
      ""token"": ""today"",
      ""replacements"": [""on January 20th, 2021"", ""recently"", ""last week""]
    },
    {
      ""token"": ""China"",
      ""replacements"": [""Chinese"", ""COVID-19"", ""Wuhan""]
    }
  ]
}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,"Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","[{""token"": ""Trump"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Trump"",
      ""replacements"": [""Obama"", ""Bush"", ""Clinton""]
    }
  ]
}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","[{""token"": ""Donald Trump"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""the 'Office of the Former President"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""Trump"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
    ""replaceable_entities"": [
        {
            ""token"": ""Donald Trump"",
            ""replacements"": [
                ""Barack Obama"",
                ""George W. Bush"",
                ""Bill Clinton""
            ]
        },
        {
            ""token"": ""the 'Office of the Former President'"",
            ""replacements"": [
                ""the 'Office of the Former Leader'"",
                ""the 'Office of the Ex-President'"",
                ""the 'Office of the Past President'""
            ]
        },
        {
            ""token"": ""Trump"",
            ""replacements"": [
                ""Obama"",
                ""Bush"",
                ""Clinton""
            ]
        }
    ]
}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Nearly two dozen bricks of cocaine were found in banana shipments destined for Canada in February 2019.,"[{""token"": ""RCMP"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""RCMP"",
      ""replacements"": [""CBSA"", ""Interpol"", ""DEA""]
    }
  ]
}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"Hundreds of members of the National Guard were made to vacate the U.S. Capitol and sent to rest in a nearby parking garage, while providing security around U.S. President Joe Biden's inauguration.","[{""token"": ""DC"", ""type"": ""GPE"", ""description"": ""Countries, cities, states""}, {""token"": ""the last week"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""Senate"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""Today"", ""type"": ""DATE"", ""description"": ""Absolute or relative dates or periods""}, {""token"": ""Senate"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""5000"", ""type"": ""CARDINAL"", ""description"": ""Numerals that do not fall under another type""}, {""token"": ""1"", ""type"": ""CARDINAL"", ""description"": ""Numerals that do not fall under another type""}, {""token"": ""One"", ""type"": ""CARDINAL"", ""description"": ""Numerals that do not fall under another type""}, {""token"": ""Joe Biden\u2019s America"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""DC"",
      ""replacements"": [""New York City"", ""Los Angeles"", ""Chicago""]
    },
    {
      ""token"": ""the last week"",
      ""replacements"": [""the past few days"", ""the previous week"", ""the past week""]
    },
    {
      ""token"": ""Senate"",
      ""replacements"": [""House of Representatives"", ""Congress"", ""Capitol""]
    }
  ]
}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{""token"": ""Chuck Schumer"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""Donald Trump"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Chuck Schumer"",
      ""replacements"": [""Nancy Pelosi"", ""Mitch McConnell"", ""Bernie Sanders""]
    },
    {
      ""token"": ""Donald Trump"",
      ""replacements"": [""Joe Biden"", ""Kamala Harris"", ""Mike Pence""]
    }
  ]
}"
tweet-sno-1210,"Oh, dear. Schumer just said, ""Incited the erection."" And the look on his face indicates he knows he said it.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{""token"": ""Schumer"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Schumer"",
      ""replacements"": [""Pelosi"", ""McConnell"", ""Sanders""]
    }
  ]
}"
tweet-sno-1211,"So, on the Senate floor, Chuck Schumer just said that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{""token"": ""Senate"", ""type"": ""ORG"", ""description"": ""Companies, agencies, institutions, etc.""}, {""token"": ""Chuck Schumer"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""Donald John Trump"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Senate"",
      ""replacements"": [""House of Representatives"", ""Congress"", ""Legislature""]
    },
    {
      ""token"": ""Chuck Schumer"",
      ""replacements"": [""Nancy Pelosi"", ""Mitch McConnell"", ""Lindsey Graham""]
    },
    {
      ""token"": ""Donald John Trump"",
      ""replacements"": [""Joe Biden"", ""Mike Pence"", ""Kamala Harris""]
    }
  ]
}"
tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of people with that ""erection"" gaffe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{""token"": ""Schumer's"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Schumer's"",
      ""replacements"": [""Pelosi's"", ""McConnell's"", ""Graham's""]
    }
  ]
}"
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in American history. We should build a statue to Chuck Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{""token"": ""American"", ""type"": ""NORP"", ""description"": ""Nationalities or religious or political groups""}, {""token"": ""Chuck Schumer"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""American"",
      ""replacements"": [""British"", ""Canadian"", ""Australian""]
    },
    {
      ""token"": ""Chuck Schumer"",
      ""replacements"": [""Nancy Pelosi"", ""Mitch McConnell"", ""Lindsey Graham""]
    }
  ]
}"
tweet-sno-1214,"The Bernie meme, Schumer saying “erection” instead of “insurrection”. Good to see we can have a laugh again here in Washington.","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{""token"": ""Bernie"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""Schumer"", ""type"": ""PERSON"", ""description"": ""People, including fictional""}, {""token"": ""Washington"", ""type"": ""GPE"", ""description"": ""Countries, cities, states""}]","{
  ""replaceable_entities"": [
    {
      ""token"": ""Bernie"",
      ""replacements"": [""AOC"", ""Pelosi"", ""Biden""]
    },
    {
      ""token"": ""Schumer"",
      ""replacements"": [""McConnell"", ""Graham"", ""Pence""]
    },
    {
      ""token"": ""Washington"",
      ""replacements"": [""Congress"", ""Capitol Hill"", ""the Senate""]
    }
  ]
}"
