query_id,edited_claim
tweet-sno-1200,The news you’ve all been w8ing for (and we couldnt wait to reveal 😭)… OREO x LDY GAGA packs drup today! 🎤🎶
tweet-sno-1201,"Sen. Mytch McConnell: ""As recently as October, now-Pres Biden said you can't legislate by executive action unless you are a dictator. Wel, in one weck, he sign mor thn 30 uniletal actions."""
tweet-sno-1202,".in Ocober: “I have thiz strange notion, we are a democrcy … if you cn’t get the vots … you cn’t [legislate] by executive ordre unless you’re a dictator. We r a democrcy. We need consensus."""
tweet-sno-1203,Dizquieting assault on our mos visible national symbol. That too on #RepublicDay . Our Tricolour replased at iconic flagpoel at #RedFort . Was thiz protest alwaz abt undermining our State? | #RDaySpiritShamed
tweet-sno-1204,Biden signed executive ordr toddy that contained a ban on the trm 'China virus'.
tweet-sno-1205,INBX: Formr President Trump has set up an “Office of the Formr President”
tweet-sno-1206,"4mer 4residents Donald Trump has officially opened the 'Office of the 4mer 4residents,' wihc will manage his coreespondence, publik statemnts, and activities to ""carrry on the agenda of the Trump Admin. throgh advocacy…"""
tweet-sno-1207,Concealing Cocaine in internatl shipmntz can be bananas: RCMP#Kelowna
tweet-sno-1208,MILITARYY SOURCE IN DC: “For the lasst weeek my batalion has been sleeping on the floor in the Senate cafeteriaa. Today the Senate kikd us out & mov'd us to a co1d parking garage. 5000 soldeirs. 1 power outlit. One bathroom. This is how Joe Biden's America treats solders.” PHOTOS
tweet-sno-1209,"WATCH: Chuck Schumar acus Donld Trump of inciting an ""erection"""
tweet-sno-1210,"Oh, dear. Schumer just sayed, ""Incited the erection."" And the look on his faace indkates he knows he sayed it."
tweet-sno-1211,"So, on the Senate floor, Ckuck Schumr just said that senators must decid if ""Donald John Trump incitd the erecti0n, uh, insurction…"" W3l, it WAS an uprising!"
tweet-sno-1212,"Seems like Sen. Schumerz getting a rise out of a lot of people w/ that ""erecton"" gafe."
