query_id	query
tweet-sno-1200	The news everyone’s been waiting for (and we couldn’t be more excited 😭)… OREO x LADY GAGA packs are out today! 🎤🎶
tweet-sno-1201	"Sen. Mitch McConnell remarked, ""In October, Biden said you can't legislate by executive action unless you're a dictator. Yet, he's signed over 30 unilateral actions in a week."""
tweet-sno-1202	".in October: “I have this strange idea, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus."""
tweet-sno-1203	Disquieting attack on our most visible national symbol, especially on #RepublicDay. Our Tricolour was replaced at the iconic flagpole at #RedFort. Was this protest really about undermining our State? | #RDaySpiritShamed
tweet-sno-1204	"""Today, Biden signed an executive order that includes a ban on using the term 'China virus.'"""
tweet-sno-1205	"Former President Trump has established an ""Office of the Former President."""
tweet-sno-1206	Donald Trump has officially launched the 'Office of the Former President,' which will manage public statements and activities to advance the Trump Administration's agenda.
tweet-sno-1207	Using bananas to conceal cocaine in shipments to Canada can be tricky: RCMP#Kelowna
tweet-sno-1208	"""MILITARY SOURCE IN DC: 'For the last week, my battalion has been sleeping on the floor in the Senate cafeteria. Today, the Senate kicked us out to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how soldiers are treated in Joe Biden’s America.' PHOTOS"""
tweet-sno-1209	"WATCH: During a speech, Chuck Schumer accuses Donald Trump of inciting an ""erection."""
tweet-sno-1210	"Oh, dear. Schumer just accidentally said, ""Incited the erection."" The look on his face shows he knows he misspoke."
tweet-sno-1211	"On the Senate floor, Schumer mistakenly stated that senators must decide if ""Donald John Trump incited the erection, uh, insurrection…"" What an error!"
tweet-sno-1212	"Sen. Schumer sure caused a stir with his ""erection"" slip-up."
tweet-sno-1213	I'm ready to name “incited the erection” the funniest political blunder ever in America. Let’s create a statue of Chuck Schumer to commemorate it. The statue should be only waist-up to play it safe.
tweet-sno-1214	The Bernie meme, Schumer's slip saying “erection” for “insurrection”. Glad we can laugh again in Washington.
tweet-sno-1215	On MLK day, Instagram flagged a post from MLK's daughter about him as “misleading”… This is 🤬 outrageous!
tweet-sno-1216	"MyPillow's website has a promo code ""QAnon"" for a $45 discount. CEO Mike Lindell visited the White House to meet President Trump, bringing notes on martial law and election conspiracies."
