query_id	query
8.548662725924618e+17	UPDATE: Patriots say # of players was smaller this year than 2015 (34 vs. 50) but total delegation was roughly the same.
1.2389891566107077e+18	“We are fully aligned and continue to work with the US Government to contain the spread of COVID-19, inform citizens, and protect the health of our communities. (1/6)
8.705925752327168e+17	Jeremy Corbyn: Labour could write off historic student debts| All those in early 20's with student debt #VoteLabour
1.1686527858580316e+18	#HurricaneDorain over #Florida ! Pray it passes without doing much damage &amp; zero loss of life 🙏
9.898133351378289e+17	WATCH: PM Modi and President Xi Jinping hold delegation level talks in Wuhan
1.169022266346279e+18	With due respect Mr President, Africa needs your leadership at this moment. Joinand other Afrian countries to boycott WEF as well. Call for an emergency meeting of AU. I believe we are way pass the stage of sending an envoy. Dan Allah LEAD Baba. 🙏🙏🙏
1.2068945768724808e+18	"Myanmar to India- 1769 kms
Myanmar to China.- 2kmBut,
Why the Rohingyas want to come to India and not China?Because Unlike India,there are
no seculars
no Intellectuals
no anti nationals
no congress in China,
who support Rohingyas"
1.2757557125771796e+18	But deaths are also a delayed indicator, so I hope this holds. 7/
1.110953391197442e+18	Governor Evers' budget would increase property taxes by the largest amount in a decade. Republicans have worked hard over the past 8 years to provide $3.56 billion in property tax relief to Wisconsin homeowners.#ItsYourMoney
1.2980716204148244e+18	I have been criticized for remarks I made Sunday night about the benefits of convalescent plasma. The criticism is entirely justified.What I should have said better is that the data show a relative risk reduction not an absolute risk reduction.
1.254729405009662e+18	 HI Samantha I'm afraid this post is fake and didn't come from us. We are not opening today and have no confirmed reopening plans at this time. When we do, we'll make announcements on our official Social Media channels and our website.
1.2645281061459763e+18	A video of 2 policemen assaulting a man has been noticed.Both of them hv been suspended with immediate effect and attached to line.A departmental enquiry has been ordered and chargesheet served.Such unfortunate acts of indiscipline by any policemen shall not be tolerated._MP
1.2879888518986342e+18	"Do you want the Government of India to ban the PUBG Gaming App?In the series of Bans on Chinese Apps, Now many demands the ban on PUBG Gaming App, which is a North Korean Gaming App!
#pubgban #pubgbanindia #pubgbaninindia #pubgmobileban"
