,query_id,query,target,tokens_to_replace,min_replacement_response,new_sentences
0,tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Oreos have a new Lady Gaga-themed cookie.,"[{'token': 'today', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}]","{
""replaceable_entities"": [
{
""token"": ""today"",
""replacements"": [""tomorrow"", ""next week"", ""this weekend""]
}
]
}","[{""sentence"": ""The news you\u2019ve all been waiting for (and we couldn\u2019t wait to reveal \ud83d\ude2d)\u2026 OREO x LADY GAGA packs drop tomorrow! \ud83c\udfa4\ud83c\udfb6"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9989149570465088}]}, {""sentence"": ""The news you\u2019ve all been waiting for (and we couldn\u2019t wait to reveal \ud83d\ude2d)\u2026 OREO x LADY GAGA packs drop next week! \ud83c\udfa4\ud83c\udfb6"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9989160299301147}]}, {""sentence"": ""The news you\u2019ve all been waiting for (and we couldn\u2019t wait to reveal \ud83d\ude2d)\u2026 OREO x LADY GAGA packs drop this weekend! \ud83c\udfa4\ud83c\udfb6"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9990077614784241}]}]"
1,tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","[{'token': 'Mitch McConnell', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'October', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Biden', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'one week', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'more than 30', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}]","{
""replaceable_entities"": [
{
""token"": ""Mitch McConnell"",
""replacements"": [""Nancy Pelosi"", ""Chuck Schumer"", ""Ted Cruz""]
}
]
}","[{""sentence"": ""Sen. Nancy Pelosi: \""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994713664054871}]}, {""sentence"": ""Sen. Chuck Schumer: \""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994491934776306}]}, {""sentence"": ""Sen. Ted Cruz: \""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994891881942749}]}]"
2,tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","[{'token': 'October', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}]","{
""replaceable_entities"": [
{
""token"": ""October"",
""replacements"": [""November"", ""December"", ""January""]
}
]
}","[{""sentence"": "".in November: \u201cI have this strange notion, we are a democracy \u2026 if you can\u2019t get the votes \u2026 you can\u2019t [legislate] by executive order unless you\u2019re a dictator. We\u2019re a democracy. We need consensus.\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993429780006409}]}, {""sentence"": "".in December: \u201cI have this strange notion, we are a democracy \u2026 if you can\u2019t get the votes \u2026 you can\u2019t [legislate] by executive order unless you\u2019re a dictator. We\u2019re a democracy. We need consensus.\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993500113487244}]}, {""sentence"": "".in January: \u201cI have this strange notion, we are a democracy \u2026 if you can\u2019t get the votes \u2026 you can\u2019t [legislate] by executive order unless you\u2019re a dictator. We\u2019re a democracy. We need consensus.\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999339759349823}]}]"
3,tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"In January 2021, protesters against India’s controversial farm laws pulled down the country’s national tricolor flag at Delhi’s historic Red Fort.","[{'token': 'Tricolour', 'type': 'PRODUCT', 'description': 'Vehicles, weapons, foods, etc. (Not services)'}, {'token': '#RedFort', 'type': 'FAC', 'description': 'Buildings, airports, highways, bridges, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""Tricolour"",
""replacements"": [""Flag"", ""Banner"", ""Standard""]
}
]
}","[{""sentence"": ""Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Flag replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993563294410706}]}, {""sentence"": ""Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Banner replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993529915809631}]}, {""sentence"": ""Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Standard replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993433356285095}]}]"
4,tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,U.S. President Joe Biden issued an executive order in January 2021 banning any use of the term “China virus.”,"[{'token': 'Biden', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'today', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'China', 'type': 'GPE', 'description': 'Countries, cities, states'}]","{
""replaceable_entities"": [
{
""token"": ""Biden"",
""replacements"": [""Obama"", ""Trump"", ""Clinton""]
}
]
}","[{""sentence"": ""Obama signed executive order today that contained a ban on the term 'China virus'."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993780851364136}]}, {""sentence"": ""Trump signed executive order today that contained a ban on the term 'China virus'."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999382734298706}]}, {""sentence"": ""Clinton signed executive order today that contained a ban on the term 'China virus'."", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993948936462402}]}]"
5,tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,"Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","[{'token': 'Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Trump"",
""replacements"": [""Clinton"", ""Bush"", ""Reagan""]
}
]
}","[{""sentence"": ""INBOX: Former President Clinton has set up an \u201cOffice of the Former President\u201d"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993689656257629}]}, {""sentence"": ""INBOX: Former President Bush has set up an \u201cOffice of the Former President\u201d"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993587136268616}]}, {""sentence"": ""INBOX: Former President Reagan has set up an \u201cOffice of the Former President\u201d"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9993658661842346}]}]"
6,tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","[{'token': 'Donald Trump', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': ""the 'Office of the Former President"", 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Donald Trump"",
""replacements"": [""Barack Obama"", ""George Bush"", ""Ronald Reagan""]
}
]
}","[{""sentence"": ""Former President Barack Obama has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to \""carry on the agenda of the Trump Admin. through advocacy\u2026\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994392991065979}]}, {""sentence"": ""Former President George Bush has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to \""carry on the agenda of the Trump Admin. through advocacy\u2026\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994365572929382}]}, {""sentence"": ""Former President Ronald Reagan has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to \""carry on the agenda of the Trump Admin. through advocacy\u2026\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994248151779175}]}]"
7,tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Nearly two dozen bricks of cocaine were found in banana shipments destined for Canada in February 2019.,"[{'token': 'RCMP', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""RCMP"",
""replacements"": [""CBSA"", ""CSIS"", ""Canada Border Services""]
}
]
}","[{""sentence"": ""Concealing Cocaine in international shipments can be bananas: CBSA#Kelowna"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9991017580032349}]}, {""sentence"": ""Concealing Cocaine in international shipments can be bananas: CSIS#Kelowna"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9990054965019226}]}, {""sentence"": ""Concealing Cocaine in international shipments can be bananas: Canada Border Services#Kelowna"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9990942478179932}]}]"
8,tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"Hundreds of members of the National Guard were made to vacate the U.S. Capitol and sent to rest in a nearby parking garage, while providing security around U.S. President Joe Biden's inauguration.","[{'token': 'DC', 'type': 'GPE', 'description': 'Countries, cities, states'}, {'token': 'the last week', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': 'Today', 'type': 'DATE', 'description': 'Absolute or relative dates or periods'}, {'token': 'Senate', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}, {'token': '5000', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}, {'token': '1', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}, {'token': 'One', 'type': 'CARDINAL', 'description': 'Numerals that do not fall under another type'}, {'token': 'Joe Biden’s America', 'type': 'ORG', 'description': 'Companies, agencies, institutions, etc.'}]","{
""replaceable_entities"": [
{
""token"": ""DC"",
""replacements"": [""NYC"", ""Chicago"", ""Boston""]
}
]
}","[{""sentence"": ""MILITARY SOURCE IN NYC: \u201cFor the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden\u2019s America treats solders.\u201d PHOTOS"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9995384216308594}]}, {""sentence"": ""MILITARY SOURCE IN Chicago: \u201cFor the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden\u2019s America treats solders.\u201d PHOTOS"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9995354413986206}]}, {""sentence"": ""MILITARY SOURCE IN Boston: \u201cFor the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden\u2019s America treats solders.\u201d PHOTOS"", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9995356798171997}]}]"
9,tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[{'token': 'Chuck Schumer', 'type': 'PERSON', 'description': 'People, including fictional'}, {'token': 'Donald Trump', 'type': 'PERSON', 'description': 'People, including fictional'}]","{
""replaceable_entities"": [
{
""token"": ""Chuck Schumer"",
""replacements"": [""Nancy Pelosi"", ""Mitch McConnell"", ""Mike Pence""]
}
]
}","[{""sentence"": ""WATCH: Nancy Pelosi accuses Donald Trump of inciting an \""erection\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9995039701461792}]}, {""sentence"": ""WATCH: Mitch McConnell accuses Donald Trump of inciting an \""erection\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.9994931221008301}]}, {""sentence"": ""WATCH: Mike Pence accuses Donald Trump of inciting an \""erection\"""", ""verifier_score"": [{""label"": ""LABEL_1"", ""score"": 0.999489426612854}]}]"
