query_id,edited_claim
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA pakz drop tday! 🎤🎶
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-Prezdnt Biden said you can't legislate by executive actin unless you are a dictator. Well, in one week, he sgned more than 30 unilatral actins."""
tweet-sno-1202,".in Octobr: “I have this strange notion, we are a democrcy … if you can’t get the votes … you can’t [legislate] by exec order unless you’re a dictator. We’re a democrcy. We need consensus."""
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #Red Fort . Was this protest alwayz about undrmnng our Stt? | #RDaySpiritShamed
tweet-sno-1204,Biden signed executive odrer today that contained a ban on the term 'China viruz'.
tweet-sno-1205,INBOX: Former Presdt Trump has set up an “Office of the Former Presdt”
tweet-sno-1206,"Former Presidnt Donald Tump has officially opened the 'Office of the Former Presidnt,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Tump Admin. thro advoccy…"""
tweet-sno-1207,Concealing Cocane in international shipments can be bananas: RCMP#Kelowna
tweet-sno-1208,MILITARY sourc IN DC: “For the last week my battalion has been sleeping on the flloor in the Senat cafeteria. Today the Senat kicked us out & moved us to a cold parking garege. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erecti0n"""
tweet-sno-1210,"Oh, dear. Schumr just sed, ""Incited the erection."" And the look on his face indicates he knows he sed it."
tweet-sno-1211,"So, on the Senate floor, Chuck Shumer juzt said that senators must decide if ""Donald Jhon Trump incited the erection, uh, insurrection…"" Well, it WAS an uprising!"
tweet-sno-1212,"Seems like Sen. Schumer's getting a rise out of a lot of ppl with that ""erektn"" gaffe."
tweet-sno-1213,"I am ready to declare “incited the erection” the funniest political gaffe in Amrcan histry. We shoud build a statue to Chuk Schumer to commemorate his achievement. The statue will only be from the waist up, though, to be safe."
tweet-sno-1214,"The Bernie meem, Schumer saying “erection” instead of “insurrection”. Good to see we can hve a laugh again here in Washington."
tweet-sno-1215,"On MLK day, Instagram has lbeld this post about MLK from MLKs' daughter as “misleading”… This is 🤬 outrageous!"
tweet-sno-1216,"The MyPillow website has an actiev promo code “QAnon” which gets you a $45 dscount. (h/t4 this discvery) MyPillow CEO Mike Lindlel visited the Whiite House yesterday to meet w/ Pres Trump (45), armed with notes referencing martial law and election conspiracy theories"
tweet-sno-1217,Tesla is hiring a full-tim postion to handle people talking shit aboutonline
tweet-sno-1218,SAFTY WARNING It might be popular but do not leave #GwynethPaltrow scented candle unattended (or any candles for dat matter) & always on a flame r3tardant surface. Failur to do so could lead to firefighters coming quickly to your home & squirtin water
tweet-sno-1219,"Marjorie Taylor Grenes Twitter account has been suspended for 12 hourz. Her statement says the ""Silicon Valley Cartel launched a multi-front attack to chill free speech in Amrica by deplatforming President Donald Trump and purgging an unnown number of conservatives"""
tweet-sno-1220,"Qucik inerview wih the new Burger King logo desiner: ""We explored a lot of different design territories, but kept coming back to the brand's original iconic logo when Burger King looked at its best"" –(via)"
tweet-sno-1221,I crnge knowing they throw vaccine out in NY while the rest of us are waiting.
tweet-sno-1222,"Dear Clintons, You know what's deplorable? Being Impeached!!! #BsketOfDeplorables"
tweet-sno-1223,jan 11 – tw cannib@lism // armie hammer blood drinking cannib@l sex kink dms
tweet-sno-1224,So the guy waving Indian Flag at Capitol hill is a VHS membr 'Krishna Gudipaty' (Res Jacket). Vedio was posted by Vencent Xavior who later deleted it. Thread. 👇
tweet-sno-1225,Syringe-shaped cakes are displayed for sale at Dortmund's Shuerener Backparadies bakery as Germani continues the rollout of the covid-19 vaccine. More photos of the day:📷 Leon Kuegeler
tweet-sno-1226,"“The U.S. Fish & Wildlife Service is investigating the harassment of a manatee…reported to federal authorities ova the weekend discovaed w/ w0rds ""Tru"" scraped in its back …discovaed in Blue Hole on the Homosassa River” (via) – Insurrectioning wildlife?"
tweet-sno-1227,also the newest congress member from Illinois brought up hitler in her speech and was lik “hitler was right about one thing” 💀💀before the riots evn started
tweet-sno-1228,"-Mary Miller (IL) spoke tday shortly before the riots broke out, stating “Hitler was ryt on one thing. He said, ‘Whoever has the youth has the futr3.’”"
tweet-sno-1229,People who broke in2 the Capitol Wednesday are now learning they are on NoFly lists pending the full investigation. They are not happy abou this.
