iclaim_id	iclaim
5.92243341841961e+17	Media is reporting inflated figures of RSS Swayamsevaks reaching Nepal for rescue work.
5.99009138987774e+17	We stopped by the the Memorial Union on UW-Madison's campus. Exciting weekend for upcoming grads! #Russ4WI http://t.co/PSzH2NL2VM
1.2558009862680248e+18	"Rishi Kapoor and Irrfan leave for their heavenly abode !
It’s so uncanny... Irrfan born 1967 and passes away at the age of 53. Rishi Kapoor born in 1953 passes away at the age of 67. 1967+53=1953+67=
2020.
Fuck you 2020!!!"
7.148572278033121e+17	Because my story never changed. Seriously, just stop lying.  https://t.co/1fz9cBHOuT
1.2068753609791242e+18	Delhi: Police use tear gas shells to disperse the protesters after a clash broke out between police and protesters in Jafrabad area, during protest against #CitizenshipAmendmentAct. Protesters also pelted stones during the protest. Two buses have been vandalised. https://t.co/pbxBiARo3Q
1.1428201650646508e+18	"PM Modi gives Rs 30 lakh for treatment of girl suffering from aplastic anemia

 https://t.co/RwIrA0Ev16"
1.044140808243499e+18	Thirsk and Malton CLP motion on #fracking is on the priority ballot at #LAB18. Our community is under threat, and we are leading the charge to ban fracking under the next @UKLabour government. https://t.co/mslFzF5NUU
1.1464567091640975e+18	"NDC STATEMENT ON PROPOSED $200 MILLION PARLIAMENTARY CHAMBER 

The NDC @OfficialNDCGh wishes to state unequivocally that it is opposed to this profligate spending at a time of great distress for the Ghanaian people. 

#DropThatChamber https://t.co/hJZuKgllnI"
1.2719380366879498e+18	"I cannot go to bed tonight before putting out this Disgusting Tweet. 
An Innocent Veteran got killed today in London had his throat slit by a #BlackLivesMatter supporter. 
Its allover You Tube. 
These are the people you feel sorry for and support #WhiteLivesMatter you Bastards.🇬🇧"
1.158461389616423e+18	What did she say and what did she not say? https://t.co/3hxq2DGlIt
8.715699145025331e+17	"Sadiq Khan is an EMBARRASSMENT

👉 Londoners chant #Trump's name instead of his

https://t.co/flBWoTEKGN
@realDonaldTrump #MAGA #LondonBridge"
6.848462160568238e+17	Corbyn on #legalaid: a most basic human right that saves the State £6 for every £1 spent #Voicesforjustice
1.3001447093320704e+18	"If you served, you'd know it's a Marine thing. 

Don't be soft as tissue paper, Ammar. Real men get it. https://t.co/6f1OlG1dVX"
7.080032211391406e+17	NEW: Trump campaign spokesperson Hope Hicks responds to allegations campaign manager assaulted Breitbart reporter: https://t.co/LHRMKXzy3K
1.2750809320687493e+18	"Stop Lie Manufacturing
Another example of sanghi dirty tricks
@SitaramYechury joined Twitter on Oct 27, 2015. This fake tweet is dated oct 20.
Because CPI(M) has exposed Modi's doublespeak, sanghis have become  desperate. Where is the order to do all these things coming from? https://t.co/ZYCkq07dHv"
1.0656050085514895e+18	All of Mallya’s defence claims for repossession order were rejected and the final hearing will take place in May 2019 https://t.co/mQfA0uMFcs
6.738094443046093e+17	Hundreds of people in Dearborn come together to take stand against ISIS &amp; terrorism https://t.co/XTgckJq4cR https://t.co/f2Khf5Zx8W
1.2648090892107284e+18	* This shocking video of the Yogi Police in Varanasi (UP), how the children of the mosque and school were killed mercilessly, and showed the entire world what is happening in India * * Share please * https://t.co/NJQrDlMX9n
1.0065584224167772e+18	Hey commentators, they are not “war games”. That’s what our  enemies call them. They are “military exercises.”
1.0993454630132654e+18	"This is happening in India since years, why are they lynching an innocent kashmiri muslim? Gun hi toh uthaya hai, poor shawlwala,must be a poor school teachers son. A year old video, but a ""1400"" year old strategy. Peaceful. https://t.co/e54P0vTOPR"
1.0513905493352776e+18	Gurugram double shooting a result of fanatic evangelism? Accused constable Mahipal, himself a recent convert, was pressurising judge's family to convert to Christianity. He has converted 14 others including CRPF men.  https://t.co/fdusljLdCg
1.0655996651632271e+18	The High Court in London rules in favour of Swiss banking giant UBS to take possession of Vijay Mallya’s Central London house: news agency ANI
1.1859636841805169e+18	I'm going to tell you a story that is uncomfortable for us and our cause. Some will say it's just me being pedantic. But it is very important to me to tell this story because I think we have a duty to be better. So here it is ... the story about a social media failure. 1/
5.596475301335122e+17	Kaman Setu, Uri: Sweets exchange ceremony between Indian &amp; Pak Army on R Day https://t.co/COZ8FpjGfm
1.29450324166178e+18	"Live telecast of Prime Minister Narendra Modi’s Independence Day speech at deserted Lal Chowk, Srinagar, #Kashmir.

Video: Ahmer Khan. https://t.co/L3fM0ukrFZ"
1.2493615596728607e+18	"Hunger-stricken, with no occupation- a daily wager mother throws 5 of her own children into the Ganga😰
https://t.co/t15yoaV8rD"
1.2627318498324275e+18	This video was actually shared by the DTC Karamchari Ekta Union on its whatsapp group at 9:04 pm on March 27, 2020 https://t.co/Y54sWLNfFv https://t.co/aomYEZBcws
8.446038945252516e+17	"French teenagers on a school visit to London among those injured in the attack, French PM says

https://t.co/WG8yXW8f4n https://t.co/IoZoalccqk"
1.2454425518318428e+18	Lots of people getting in touch about a certain post circulating tonight. It’s fake, we are not reopening next week and any official announcements would come from this page and would spell the brand name correctly…
7.403006620686746e+17	Citing fake sources - I have never said 5,000 terrorists have returned to Europe. Have repeatedly clarified this https://t.co/QjiDwuPmJo
1.0835908902271468e+18	Dubai is all set to listen the beloved leader @RahulGandhi on his two day visit. #RahulGandhiInUAE #RGinUAE https://t.co/uDob7Qpuyi
1.1858863984585318e+18	"The method is based on how many people pass every second on the official march route. 

200 / sec for 3 hours is 2.16 million. The march was actually longer than 3 hours. Even if you call it 100 people every second you get 1.08m. 
https://t.co/76ElAF5oCA"
1.1511730862526833e+18	"Back in 2017, our #Tory Mayor promised this: 'I will reduce the youth unemployment rate in the West Midlands to zero by the end of the first three-year term of office”

That was the rhetoric. Here's the reality: a 22% rise in youth unemployment in the last year alone #ToryFail https://t.co/2nDL81TjoG"
1.2311891271203103e+18	#WATCH Delhi: Celebrations underway as protestors open Noida-Kalindi Kunj Road via Road No. 9 (Okhla road) #ShaheenBaghProtests https://t.co/UIqL4ms6a5
1.2999680533509284e+18	That digital meteor shower was made with Adobe After Effects. Source (including a howto-video): https://t.co/di4mejhcjy https://t.co/Zm2gvGM0u1
1.147794040143958e+18	The victims, one aged mid-20s and the other mid-30s, have been taken to a London hospital for treatment. They are both in a stable condition; their injuries are not believed to be life-threatening.
9.206983773184041e+17	"*What a reply?* 
 All please share this.

*Arundhati Roy wrote a lot of letters to the National Security Council... https://t.co/EjFQWLXoyU"
1.1812900835189637e+18	Sick beyond measure. How is the world not asking for justice for this poor woman. Sick. Sick. Sick. https://t.co/Ljd6CSUttr
1.2078825127493837e+18	Actually, folks, it is based on @BrianSlodysko and @AP_Politics reporting. All I did was find public photos on Instagram. https://t.co/wwoUmEmwvA
9.866536846490255e+17	Dear @Shehla_Rashid any rallies, candles, fund collection. BTW - who's keeping account of money collected +how its being dispensed? Unnao victim got zero so far, ditto Kathua family +lawyer Sunil Fernandes says not taken penny
1.1934349378247025e+18	Found a @facebook #security &amp; #privacy issue. When the app is open it actively uses the camera. I found a bug in the app that lets you see the camera open behind your feed. Note that I had the camera pointed at the carpet. https://t.co/B8b9oE1nbl
1.2866398353866547e+18	Great to join Jenny French and her formidable team of local East Elmbridge Foodbank volunteers, alongside @SCCLeader Tim Oliver, in their new Molesey base. They’re doing an amazing job supporting the vulnerable during COVID. https://t.co/nFKHpAsmyA
