query_id,query,target,baseline_tokens_to_misspell,worstcase_tokens_to_misspell,replaced_token
tweet-sno-1200,The news you’ve all been waiting for (and we couldn’t wait to reveal 😭)… OREO x LADY GAGA packs drop today! 🎤🎶,Oreos have a new Lady Gaga-themed cookie.,"[""today"", ""packs""]","[""couldn\u2019t"", ""GAGA"", ""waiting"", ""LADY"", ""drop""]","{
  ""typo_tokens"": [
    {
      ""token"": ""today"",
      ""typos"": [""2day"", ""todai"", ""tday"", ""todaii""]
    },
    {
      ""token"": ""packs"",
      ""typos"": [""paks"", ""pacx"", ""pakcs"", ""pakz""]
    }
  ]
}"
tweet-sno-1201,"Sen. Mitch McConnell: ""As recently as October, now-President Biden said you can't legislate by executive action unless you are a dictator. Well, in one week, he signed more than 30 unilateral actions.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","[""President"", ""action"", ""unilateral"", ""signed""]","[""than"", ""Well"", ""signed"", ""unilateral"", ""week"", ""more"", ""President"", ""Mitch""]","{
  ""typo_tokens"": [
    {
      ""token"": ""President"",
      ""typos"": [""Prezident"", ""Prezdnt"", ""Presdnt"", ""Presi"", ""POTUS""]
    },
    {
      ""token"": ""action"",
      ""typos"": [""actn"", ""ation"", ""acton"", ""actin"", ""axn""]
    },
    {
      ""token"": ""unilateral"",
      ""typos"": [""unilatrul"", ""uniltrl"", ""unilatral"", ""uniltrl"", ""uniltr""]
    },
    {
      ""token"": ""signed"",
      ""typos"": [""signd"", ""sgned"", ""sign'd"", ""sgind"", ""signedd""]
    }
  ]
}"
tweet-sno-1202,".in October: “I have this strange notion, we are a democracy … if you can’t get the votes … you can’t [legislate] by executive order unless you’re a dictator. We’re a democracy. We need consensus.""","When he was still a candidate for the presidency in October 2020, U.S. President Joe Biden said, “You can’t legislate by executive order unless you’re a dictator.”","[""October"", ""executive"", ""democracy""]","[""October"", ""We\u2019re"", ""this"", ""votes"", ""can\u2019t"", ""democracy"", ""order""]","{
  ""typo_tokens"": [
    {
      ""token"": ""October"",
      ""typos"": [""Oct"", ""Ocober"", ""Octobr""]
    },
    {
      ""token"": ""executive"",
      ""typos"": [""exec"", ""excutive"", ""exctv""]
    },
    {
      ""token"": ""democracy"",
      ""typos"": [""demo"", ""democrcy"", ""democrasy""]
    }
  ]
}"
tweet-sno-1203,Disquieting assault on our most visible national symbol. That too on #RepublicDay . Our Tricolour replaced at iconic flagpole at #RedFort . Was this protest always about undermining our State? | #RDaySpiritShamed,"In January 2021, protesters against India’s controversial farm laws pulled down the country’s national tricolor flag at Delhi’s historic Red Fort.","[""RedFort"", ""State"", ""undermining"", ""always""]","[""Disquieting"", ""this"", ""about"", ""flagpole"", ""replaced"", ""most"", ""undermining"", ""always""]","
{
  ""typo_tokens"": [
    {
      ""token"": ""RedFort"",
      ""typos"": [""Red Fort"", ""RedFrt"", ""RdFort"", ""RdFrt""]
    },
    {
      ""token"": ""State"",
      ""typos"": [""St8"", ""Stte"", ""S8"", ""Stt""]
    },
    {
      ""token"": ""undermining"",
      ""typos"": [""undrmining"", ""undrminin"", ""undrmnng"", ""undermnng""]
    },
    {
      ""token"": ""always"",
      ""typos"": [""alwayz"", ""alwais"", ""alwys"", ""alway""]
    }
  ]
}"
tweet-sno-1204,Biden signed executive order today that contained a ban on the term 'China virus'.,U.S. President Joe Biden issued an executive order in January 2021 banning any use of the term “China virus.”,"[""virus"", ""order""]","[""term"", ""order"", ""today"", ""contained""]","{
  ""typo_tokens"": [
    {
      ""token"": ""virus"",
      ""typos"": [""vyrus"", ""viruz"", ""viRus"", ""v!rus""]
    },
    {
      ""token"": ""order"",
      ""typos"": [""odrer"", ""ordr"", ""ordeer"", ""odr""]
    }
  ]
}"
tweet-sno-1205,INBOX: Former President Trump has set up an “Office of the Former President”,"Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","[""President""]","[""INBOX"", ""Former""]","{
  ""typo_tokens"": [
    {
      ""token"": ""President"",
      ""typos"": [""Presdent"", ""Presidnt"", ""Prezident"", ""Pres'dent"", ""Presdt"", ""Pres""]
    }
  ]
}"
tweet-sno-1206,"Former President Donald Trump has officially opened the 'Office of the Former President,' which will manage his correspondence, public statements, and activities to ""carry on the agenda of the Trump Admin. through advocacy…""","Former U.S. President Donald Trump opened an “Office of the Former President” in Palm Beach, Florida, to issue statements from and to share his post-presidency plans.","[""Trump"", ""through"", ""President"", ""advocacy""]","[""correspondence"", ""Former"", ""statements"", ""which"", ""President"", ""through"", ""public"", ""carry""]","{
  ""typo_tokens"": [
    {
      ""token"": ""Trump"",
      ""typos"": [""Trmp"", ""Truump"", ""Trup"", ""Tump"", ""Trmp""]
    },
    {
      ""token"": ""through"",
      ""typos"": [""thru"", ""throgh"", ""thruough"", ""thro"", ""throu""]
    },
    {
      ""token"": ""President"",
      ""typos"": [""Presdent"", ""Presidnt"", ""Presidnt"", ""Preesident"", ""Presiden""]
    },
    {
      ""token"": ""advocacy"",
      ""typos"": [""advoccy"", ""advcacy"", ""advcocy"", ""advocaicy"", ""advocasy""]
    }
  ]
}"
tweet-sno-1207,Concealing Cocaine in international shipments can be bananas: RCMP#Kelowna,Nearly two dozen bricks of cocaine were found in banana shipments destined for Canada in February 2019.,"[""Cocaine""]","[""shipments"", ""international""]","{
  ""typo_tokens"": [
    {
      ""token"": ""Cocaine"",
      ""typos"": [
        ""Cocane"",
        ""Cociane"",
        ""Coca1ne"",
        ""Coc@ine"",
        ""Co-caine""
      ]
    }
  ]
}"
tweet-sno-1208,MILITARY SOURCE IN DC: “For the last week my battalion has been sleeping on the floor in the Senate cafeteria. Today the Senate kicked us out & moved us to a cold parking garage. 5000 soldiers. 1 power outlet. One bathroom. This is how Joe Biden’s America treats solders.” PHOTOS,"Hundreds of members of the National Guard were made to vacate the U.S. Capitol and sent to rest in a nearby parking garage, while providing security around U.S. President Joe Biden's inauguration.","[""5000"", ""Senate"", ""garage"", ""SOURCE"", ""floor""]","[""Biden\u2019s"", ""kicked"", ""cafeteria"", ""cold"", ""week"", ""MILITARY"", ""battalion"", ""outlet"", ""last"", ""moved"", ""soldiers""]","{
  ""typo_tokens"": [
    {
      ""token"": ""5000"",
      ""typos"": [""five thousand"", ""5k"", ""5000""]
    },
    {
      ""token"": ""Senate"",
      ""typos"": [""Sen8"", ""Senat"", ""Sennate""]
    },
    {
      ""token"": ""garage"",
      ""typos"": [""garaj"", ""grge"", ""garege""]
    },
    {
      ""token"": ""SOURCE"",
      ""typos"": [""SRC"", ""sorce"", ""sourc""]
    },
    {
      ""token"": ""floor"",
      ""typos"": [""flor"", ""florr"", ""flloor""]
    }
  ]
}"
tweet-sno-1209,"WATCH: Chuck Schumer accuses Donald Trump of inciting an ""erection""","While speaking on the Senate floor on Jan. 22, 2021, Senate Majority Leader Chuck Schumer (D-NY) accidentally said “erection” instead of “insurrection.”","[""erection""]","[""accuses"", ""Schumer"", ""Donald""]","{
  ""typo_tokens"": [
    {
      ""token"": ""erection"",
      ""typos"": [
        ""erecton"",
        ""errection"",
        ""erectieon"",
        ""erectn"",
        ""erectoin"",
        ""erecti0n""
      ]
    }
  ]
}"
